day_of_cycle ,period_of_cycle ,start_of_cycle ,start_time ,finsh_time ,stage
          16 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    8
          16 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    3
          16 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    4
          16 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    5
          16 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    6
          16 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    7
          16 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    8
          17 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    2
          17 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    3
          17 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    4
          17 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    5
          17 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    6
          17 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    7
          17 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    8
          17 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    1
          17 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    2
          17 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    3
          17 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    4
          17 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    5
          17 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    6
          17 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    7
          17 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    8
          18 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    4
          18 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    5
          18 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    6
          18 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    7
          18 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    8
          18 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    3
          18 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    4
          18 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    5
          18 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    6
          18 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    7
          18 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    8
          18 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    2
          18 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    3
          18 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    4
          18 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    5
          18 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    6
          18 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    7
          18 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    8
          19 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    1
          19 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    2
          19 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    3
          19 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    4
          19 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    5
          19 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    6
          19 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    7
          19 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    8
          19 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    4
          19 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    5
          19 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    6
          19 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    7
          19 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    8
